concept_id,concept_name
46347145,15858-21 SPINAL 24G EUROPEAN PENCIL POINT WITH INTRODUCER NEEDLE - regional anesthesia kit
46355185,49653C-24 SPINAL 24G EUROPEAN PENCIL POINT WITH INTRODUCER NEEDLE - regional anesthesia kit
46357450,49661-24 SPINAL 24G EUROPEAN PENCIL POINT NEEDLE - regional anesthesia kit
46338232,4982-17/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET 17G TUOHY/27G PENCIL POINT - regional anesthesia kit
46344112,4982-18/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET - regional anesthesia kit
46352604,4982S-18/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET - regional anesthesia kit
46354617,4984-17/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET 17G TUOHY 27G PENCIL POINT - regional anesthesia kit
46352486,4984-18/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET 18G TUOHY/27G PENCIL POINT - regional anesthesia kit
46354723,A3319-24 SPINAL 24G EUROPEAN PENCIL POINT WITH INTRODUCER NEEDLE - regional anesthesia kit
46334547,A3431-24 PORTEX SPINAL 24G GERTIE MARX SPINAL NEEDLE - regional anesthesia kit
46337543,A3444-17/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET - regional anesthesia kit
46343129,A3915-17/27 CSE TRAY WITH CSECURE LOCKING NEEDLE SET 17G TUOHY/27G PENCIL POINT - regional anesthesia kit
4165358,Administration of electrolytes
4088217,Administration of medication
4196016,Administration of substance via intravenous route
45332358,ADVOCATE PEN NEEDLES 5MM 31G
45127333,ADVOCATE PEN NEEDLES 8MM 31G
44816332,albiglutide
43013884,alogliptin
38003213,Anesthesia - General Classification
45047891,BD 10 ML SYRINGE WITH NEEDLE
45132886,BD 10 ML SYRINGE WITH NEEDLE
44877681,BD 10 ML SYRINGE WITH NEEDLE
45286850,BD 1 ML SYRINGE-NEEDLE 25GX5/8
44996556,BD 1 ML SYRINGE WITH NEEDLE
44962620,BD 3 ML SYRINGE WITH NEEDLE
45098992,BD 3 ML SYRINGE WITH NEEDLE
44911984,BD 3 ML SYRINGE WITH NEEDLE
45286852,BD 3 ML SYRINGE WITH NEEDLE
44877679,BD 3 ML SYRINGE WITH NEEDLE
44860612,BD 3 ML SYRINGE WITH NEEDLE
45218346,BD 3 ML SYRINGE WITH NEEDLE
45030992,BD 3 ML SYRINGE WITH NEEDLE
44843423,BD 3 ML SYRINGE WITH NEEDLE
45064948,BD 3 ML SYRINGE WITH NEEDLE
45252658,BD 3 ML SYRINGE WITH NEEDLE
45047887,BD 3 ML SYRINGE WITH NEEDLE
45082058,BD 3 ML SYRINGE WITH NEEDLE
45098991,BD 3 ML SYRINGE WITH NEEDLE
45269814,BD 3 ML SYRINGE WITH NEEDLE
45269816,BD 3 ML SYRINGE WITH NEEDLE
44843426,BD 5 ML SYRINGE WITH NEEDLE
45320908,BD 5 ML SYRINGE WITH NEEDLE
44894776,BD 5 ML SYRINGE WITH NEEDLE
45337962,BD 5 ML SYRINGE WITH NEEDLE
45098985,BD ALLERGY SYRINGE-NEEDLE 1 ML
45303890,"BD BLUNT NEEDLE 18GX1-1/2"",Device"""
45252652,"BD ECLIPSE NEEDLE 18GX1 1/2"",Device"""
45286849,"BD ECLIPSE NEEDLE 21GX1"",Device"""
45082055,"BD ECLIPSE NEEDLE 22GX1"",Device"""
45098987,"BD ECLIPSE NEEDLE 23GX1"",Device"""
45371845,"BD ECLIPSE NEEDLE 25GX1"",Device"""
45269811,"BD ECLIPSE NEEDLE 25GX1.5"",Device"""
44877674,"BD ECLIPSE NEEDLE 25GX5/8"",Device"""
45201252,"BD ECLIPSE NEEDLE 27GX1/2"",Device"""
44962617,"BD ECLIPSE NEEDLE 30GX1/2"",Device"""
44945878,"BD ECLIPSE NEEDLES 21GX1.5"",Device"""
44894770,BD FILTER NEEDLE
45149900,"BD INTEGRA RETRA NEEDLE 23GX1"",Device"""
45303895,BD MEDSAVER 1 ML SYR-NEEDLE
45286847,"BD NEEDLE 18GX1 1/2"",Device"""
44860605,"BD NEEDLE 18GX1 1/2"",Device"""
45371840,"BD NEEDLE 19GX1 1/2"",Device"""
44860606,"BD NEEDLE 20GX1 1/2"",Device"""
45132878,"BD NEEDLE 21GX1"",Device"""
45098984,"BD NEEDLE 21GX1 1/2"",Device"""
45201247,"BD NEEDLE 21GX1 1/2"",Device"""
45132876,"BD NEEDLE 22GX1"",Device"""
44877671,"BD NEEDLE 22GX1 1/2"",Device"""
44945874,"BD NEEDLE 22GX1 1/2"",Device"""
45064941,"BD NEEDLE 22GX3/4"",Device"""
44996546,"BD NEEDLE 23GX1"",Device"""
44911977,"BD NEEDLE 23GX1"",Device"""
44911979,"BD NEEDLE 23GX1"",Device"""
45252650,"BD NEEDLE 23GX1 1/2"",Device"""
45269806,"BD NEEDLE 24GX1"",Device"""
45286846,"BD NEEDLE 25GX1"",Device"""
45201248,"BD NEEDLE 25GX5/8"",Device"""
45013656,"BD NEEDLE 25GX5/8"",Device"""
45320898,"BD NEEDLE 26GX0.625"",Device"""
44911980,"BD NEEDLES 16GX1"",Device"""
45201251,"BD NEEDLES 16GX1.5"",Device"""
45116001,"BD NEEDLES 18GX1"",Device"""
44877672,"BD NEEDLES 18GX1.5"",Device"""
45149898,"BD NEEDLES 18GX1.5"",Device"""
45371841,"BD NEEDLES 19GX1"",Device"""
45030988,"BD NEEDLES 19GX1"",Device"""
45064942,"BD NEEDLES 19GX1.5"",Device"""
44928884,"BD NEEDLES 19GX1.5"",Device"""
45013659,"BD NEEDLES 20GX1"",Device"""
45218344,"BD NEEDLES 20GX1"",Device"""
44962615,"BD NEEDLES 20GX1.5"",Device"""
45235603,"BD NEEDLES 20GX1.5"",Device"""
45303889,"BD NEEDLES 21GX1"",Device"""
45184041,"BD NEEDLES 21GX1.5"",Device"""
45167123,"BD NEEDLES 21GX2"",Device"""
45013657,"BD NEEDLES 22GX1"",Device"""
44979656,"BD NEEDLES 22GX1.5"",Device"""
45149897,"BD NEEDLES 22GX1.5"",Device"""
44996544,"BD NEEDLES 23GX0.75"",Device"""
44843408,"BD NEEDLES 23GX1.25"",Device"""
45132877,"BD NEEDLES 25GX0.625"",Device"""
44996543,"BD NEEDLES 25GX0.875"",Device"""
44928882,"BD NEEDLES 25GX1.5"",Device"""
45201249,"BD NEEDLES 26GX0.375"",Device"""
45064940,"BD NEEDLES 26GX0.5"",Device"""
44996542,"BD NEEDLES 27GX0.5"",Device"""
45355008,"BD NEEDLES 27GX1X1.25"",Device"""
44911978,"BD NEEDLES 30GX0.5"",Device"""
45030987,"BD NEEDLES 30GX1"",Device"""
44860608,"BD NOKOR ADMIX NEEDLE 18GX1.5"",Device"""
44945875,"BD NOKOR NEEDLE 16GX1"",Device"""
45047883,"BD NOKOR NEEDLE 18GX1"",Device"""
45047893,"BD PEN NEEDLE 29GX1/2"",Device"""
44945883,"BD PEN NEEDLE 29GX3/16"",Device"""
45371848,"BD PEN NEEDLE 29GX5/16"",Device"""
45047895,"BD PEN NEEDLE 30GX3/16"",Device"""
44935163,"BD PEN NEEDLE MINI 31GX3/16"",Device"""
45098993,"BD PEN NEEDLE MINI 31GX3/16"",Device"""
45269819,"BD PEN NEEDLE MINI 31GX3/16"",Device"""
44996559,"BD PEN NEEDLE NANO 32GX5/32"",Device"""
45082060,"BD PEN NEEDLE NANO 32GX5/32"",Device"""
45149905,"BD PEN NEEDLE ORIG 29GX1/2"",Device"""
45030994,"BD PEN NEEDLE ORIG 29GX1/2"",Device"""
45132888,"BD PEN NEEDLE SHORT 31GX5/16"",Device"""
45167130,"BD PEN NEEDLE SHORT 31GX5/16"",Device"""
44860607,BD PRECISIONGLIDE NEEDLE 25G
45269801,"BD QUINCKE NEEDLE 20GX3"",Device"""
44928878,"BD QUINCKE NEEDLE 22GX3"",Device"""
45013653,"BD QUINCKE NEEDLE 22GX3 1/2"",Device"""
45201242,"BD QUINCKE NEEDLE 25GX3"",Device"""
45355002,"BD QUINCKE NEEDLE 25GX3 1/2"",Device"""
45115999,"BD QUINCKE NEEDLE 26GX3 1/2"",Device"""
45286841,"BD QUINCKE NEEDLE 27GX3 1/2"",Device"""
44860613,BD SAFE CLIP NEEDLE CLIPPR
44860610,BD SAFETYGLIDE NEEDLE
45132883,BD SAFETYGLIDE NEEDLE
45235607,"BD SAFETYGLIDE NEEDLE 18GX1.5"",Device"""
45184044,"BD SAFETYGLIDE NEEDLE 21GX1"",Device"""
45337956,"BD SAFETYGLIDE NEEDLE 21GX1.5"",Device"""
45082056,"BD SAFETYGLIDE NEEDLE 22GX1.5"",Device"""
45167127,"BD SAFETYGLIDE NEEDLE 25GX1"",Device"""
45167128,"BD SAFETYGLIDE NEEDLE 27GX5/8"",Device"""
